author,date,text,url
No author found,18 fév,No text found,https://www.facebook.com/reel/2186669878414717/?s=single_unit&__cft__[0]=AZXSd-mRXHH5tbinAxzYxnYPIGXvzlyITD_6_atkntyZHQYycTtU28VSp83ybJHopnOTUvGwC-P9Hjma6O6hTfAh37PPYWoYubZ08hm0-apdEo6C9wTnzuDj9rAHvJVyWbIYFhLtcTE2bAveYJ7uulHMy40Y7ntrPa7xuTkkGavLkaf4AJ5xjrXh9oB4Ke5GRAwgh4uEL3xIFewqqYbcDSu7&__tn__=H-R
No author found,No date found,No text found,No URL found
,"nSedpsotro5 3i4g1 72f7uf9lih85c4550a0htv:6rlai7f11,3g95784au","Je parle aujourd’hui car le phénomène des violences dans les milieux militants est fréquent L’une des techniques utilisées  par ces agresseureuses est de créer la division entre les militant•es, de jeter le doute, de dire d’une personne « celle-là je ne la sens pas » et/ou d’utiliser son moindre faux-pas pour la discréditer sous couvert de pureté militante Lorsqu’iels sont découvertes, iels rebondissent dans un autre milieu et recommencent la même stratégie ailleurs … En voir plus",https://www.facebook.com/stories/1226040110828759/UzpfSVNDOjY1MzQwMTkwNzU1NzExNQ==/?view_single=false&__cft__[0]=AZXhLPWDBkdaLDiWPaoj991LwNbGOEsTviQLpQrcoLSb7qQWJoQdD3PPTzj2APSVECrjDoPEhsAZMh7D599p1MUr2VRgrNW8BDKh5V2fwHhjXgaTGVFoitVS2rpVH90uEmw77vblbgk8dFczBUHpiZogX2aWkqYgPfEmjNZAHaEk3w&__tn__=%3C%3C%2CP-R
,"Sordnpeostci0,uh25 u09a83uhu:4tuclrlvi53ft01191 8tfu2f385i63",#parasite #harcelement #jamaistutarrete #maislachemoiputain #screenshot,https://www.facebook.com/lilougolddigga?__cft__[0]=AZXs6NnB1575A_cNeD998iISAATwGUxmYlVvrBHj5folhVs9MyYB1u5TkHR22NRFQnsv7GfiX8Wy2C2jlbaF7Qimwc0_6i52JwbMsK2WCMm0H_UoxRGwvOB-XI2wPXREan3WKHLpLLRGLyXknUamCX7AEW63yUMKynO4x_J8W-WKug&__tn__=%3C%3C%2CP-R
No author found,14 mar,No text found,https://www.facebook.com/reel/661302216371239/?s=single_unit&__cft__[0]=AZUzVV6MRzKAQhqznJh6JCoNxN3HN6cEKQM1fDv_Ib36q17irqD9quVbxF3-DTAQL9IEoIXBO520DpJSjMGZNkHutANkLp3VQmn27ty3cabKIBywFug3HLt5voil191NIkPDl8T-ioQBvVkuesL-crcLDdxEUdlAgPY7L99gBXu5rAXUicjNwBe3KuCmxAF9WFZ3xZcqgaqMWaplO5kWi9tv&__tn__=H-R
No author found,7 nov,No text found,https://www.facebook.com/reel/1294979474837351/?s=single_unit&__cft__[0]=AZX8OEgqiExKYj-M7ggHbpzOCgJEqBJzbnge9VEe3N4Pb2NCiLQZ4U9HVzTXyM_kyn2K99_5wIpi-U-NC9DoAL4Vclw4Ra--m2hnjP5hBmgnWeb7hO6739t3ceC6xKXDuB88dTRVgju9tIBlQRJJ-nI6LI9ZCoVtxovRfFfckWQFt-U1W93MdUCwvCeYMDVKRCZTT4c92ucWoMsyReRwK6Ya&__tn__=H-R
No author found,23 juin,No text found,https://www.facebook.com/reel/2598855883781568/?s=single_unit&__cft__[0]=AZVbMcno9AiL4H6XlTyJBpHH6TIlOkht7dCYau1y_-vHimcyl8_yV3xxxA1ANxSmyF0MgknjYApt4f44JrE1JJGHs2dIsj4aiiLDQnx3iBPM8U0Xy91FjNHka4PGh8nNvV52PUmvPn5iZHhnuhor-WIoQhLVx3wvixJ83bpm8ECpbDSEUQZL1lC2gQ6OWQ5uyXorUCC8hLUQ9AcVp90OpeRoXT3OfZMK-AKbdCR3Lq_RFQ&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
